X58.62,X63.67,X68.72,X73.77,X78.82,X83.87,X88.92,X93.97,X98.02,X03.07,X08.12,X13.17,X18.22
0-4,788390,812469,843723,775060,668972,655654,728227,778873,873348,848993,820877,790336,809194
5-9,777140,784976,806838,847413,780627,674954,664727,739328,872131,886946,867053,841510,811690
10-14,813040,777482,786292,809695,851267,784491,681164,673141,766849,885178,904476,887038,862162
15-19,683575,803332,777349,787879,813101,855490,790010,689232,727955,779880,902371,924116,907433
20-24,538600,699263,800478,779377,790614,819188,864619,797559,855577,743060,799278,924326,946856
25-29,502370,535604,682157,803977,784165,800519,839854,877005,969693,870813,763492,822737,948347
30-34,566355,496204,524825,683003,805773,790520,814045,846886,1055486,977908,884492,780258,840107
35-39,644480,556945,502130,524612,681795,807197,792664,813552,1031615,1059334,986600,896034,793223
40-44,646515,631049,556540,499268,521501,678823,801806,787600,952658,1028080,1058863,988896,900021
45-49,611295,637710,627735,548327,492159,515113,668376,791411,931972,941649,1018418,1050326,982440
50-54,557560,595542,614229,610704,533388,479757,501728,653967,1000369,912216,924060,1000962,1033345
55-59,492515,537045,566747,586258,582960,509987,459090,484947,846442,965743,883862,897549,973978
60-64,431390,458963,492421,525500,544181,541542,474969,432389,638818,797311,912290,838722,854552
65-69,343930,384477,404139,436073,466083,483657,483473,429937,519477,576091,723504,831074,768754
70-74,245435,288059,312464,330728,360216,385143,403209,409518,439926,438425,491123,622937,719867
75-79,162360,183099,207063,227431,242728,266643,287034,307467,341085,334515,338655,385367,496228
80-84,97340,100759,110357,125859,140434,151699,166839,183972,208674,222138,223189,231565,269620
85+,53430,59244,61661,67450,79837,91208,100301,109464,139137,149943,167189,181038,198142
